,sex,age,household_position,household_size,prev_residence_place,citizenship,country_birth,edu_level,economic_status,cur_eco_activity,Marital_status,occupation
41798,Female,7,1122,114,1,1,1,5,111,138,2,low_level
11348,Male,10,1122,114,1,1,1,3,111,133,2,high_level
40791,Female,10,1122,113,1,1,1,3,111,138,2,high_level
31424,Female,5,1131,112,1,1,1,2,111,131,1,high_level
4327,Female,11,1122,113,1,1,1,2,111,131,2,high_level
45368,Male,8,1122,125,1,1,1,2,111,124,2,high_level
21793,Female,5,1210,111,1,1,1,5,111,131,1,high_level
36405,Male,4,1110,114,1,1,1,3,112,131,1,high_level
11594,Male,4,1110,113,1,1,1,1,112,135,1,high_level
22135,Male,10,1131,112,1,1,1,3,111,135,1,high_level
54033,Female,7,1122,113,1,1,1,3,111,134,2,high_level
50121,Female,7,1132,113,1,1,3,2,120,131,1,low_level
53008,Male,8,1122,125,1,1,1,5,111,135,2,low_level
3398,Male,8,1110,113,1,1,1,3,111,137,1,high_level
10905,Male,10,1121,112,1,1,1,5,111,137,2,low_level
12087,Female,9,1121,112,1,1,1,1,111,138,2,high_level
19143,Male,10,1122,114,1,1,1,3,111,131,2,low_level
25841,Male,12,1121,112,1,1,1,5,111,137,2,low_level
129,Male,12,1121,112,1,1,1,2,111,137,2,high_level
53578,Female,9,1121,112,1,1,1,3,111,138,2,high_level
5137,Male,7,1121,112,1,1,1,3,111,139,2,low_level
2128,Male,10,1121,112,1,1,1,3,111,131,2,low_level
1872,Female,10,1122,114,1,1,1,5,111,138,2,low_level
52752,Female,8,1122,113,1,1,1,5,111,122,2,low_level
54465,Female,9,1122,114,1,1,1,2,111,135,2,high_level
25265,Female,5,1110,114,1,1,1,3,112,131,1,high_level
39706,Male,6,1131,112,1,1,1,2,120,131,1,low_level
15391,Male,8,1122,125,1,1,1,5,111,137,2,low_level
42690,Male,8,1122,125,1,1,1,5,111,122,2,low_level
60214,Male,9,1110,112,1,1,1,5,120,111,1,low_level
30927,Male,11,1122,114,1,1,1,3,111,131,2,low_level
34098,Female,9,1121,112,1,1,1,3,120,139,2,high_level
45774,Male,10,1122,113,1,1,1,5,111,131,2,low_level
21417,Male,13,1121,112,1,1,1,5,120,139,2,low_level
348,Female,12,1140,112,1,1,1,3,111,122,4,high_level
18637,Male,7,1131,112,1,1,1,5,111,137,1,high_level
40858,Male,13,1121,112,1,1,1,5,111,135,2,low_level
13592,Female,10,1140,112,1,1,1,3,111,138,4,high_level
34224,Male,10,1122,114,1,1,1,2,120,132,2,low_level
2890,Male,4,1110,114,1,1,1,2,112,135,1,high_level
37795,Male,4,1110,125,1,1,1,2,112,132,1,high_level
55651,Female,9,1122,114,1,1,1,5,111,138,2,low_level
44261,Female,10,1121,112,1,1,1,5,111,122,2,high_level
21938,Male,7,1122,114,1,1,1,3,120,131,2,low_level
20842,Male,11,1122,114,1,1,1,5,111,136,2,low_level
21560,Male,9,1122,125,1,1,1,5,111,131,2,low_level
47237,Male,8,1210,111,1,1,1,5,111,134,1,high_level
47752,Male,7,1121,112,1,1,1,2,111,135,2,high_level
3248,Male,10,1122,125,1,1,1,5,111,133,2,low_level
42625,Male,7,1122,125,1,1,1,3,111,122,2,low_level
30075,Male,11,1121,112,1,1,1,3,111,133,2,low_level
14725,Female,11,1210,111,1,1,1,1,111,137,3,high_level
17935,Male,11,1122,114,1,1,1,5,111,137,2,low_level
19054,Female,11,1121,112,1,1,1,3,111,138,2,low_level
4772,Female,6,1131,112,1,1,1,3,111,138,1,high_level
18030,Female,8,1122,125,1,1,2,1,111,138,2,high_level
23225,Female,10,1122,114,1,1,1,2,111,132,2,high_level
33886,Female,9,1140,114,1,1,1,3,111,135,4,high_level
45684,Female,9,1122,126,1,1,3,3,111,122,2,high_level
19888,Male,8,1122,114,1,1,1,3,111,122,2,low_level
40186,Female,6,1210,111,1,1,1,5,111,138,1,low_level
9427,Female,11,1140,113,1,1,2,5,111,137,4,high_level
27789,Male,15,1121,112,1,1,1,2,120,111,2,low_level
39096,Male,9,1122,114,1,1,1,3,120,132,2,low_level
26407,Female,9,1131,112,1,1,1,3,111,137,4,low_level
21764,Male,11,1121,112,1,1,3,3,111,122,2,high_level
27714,Female,9,1122,125,1,1,1,5,111,138,2,low_level
41228,Male,10,1122,113,1,1,1,3,111,124,2,low_level
34892,Male,9,1122,125,1,1,1,3,111,136,2,high_level
39457,Male,6,1110,125,1,1,1,5,111,135,1,high_level
15818,Female,10,1140,113,1,1,1,3,111,122,4,low_level
1930,Female,10,1122,113,1,1,1,5,111,138,2,low_level
24917,Male,6,1122,114,1,1,3,2,111,131,2,high_level
32307,Female,4,1110,114,1,1,1,3,112,139,1,high_level
36203,Female,7,1210,111,1,1,1,3,111,138,1,high_level
41014,Male,11,1121,112,1,1,1,3,111,124,2,high_level
42043,Male,10,1122,125,1,1,1,5,111,135,2,low_level
42834,Male,7,1210,111,1,1,1,2,111,122,1,high_level
79,Male,13,1121,112,1,1,1,3,120,111,2,low_level
42317,Male,10,1132,114,1,1,1,3,111,138,1,low_level
22902,Female,4,1110,114,1,1,1,2,112,131,1,high_level
31479,Male,7,1122,114,1,1,1,5,111,122,2,high_level
5730,Male,7,1122,113,1,1,1,3,111,131,2,low_level
39053,Female,7,1121,112,2,1,1,5,111,135,2,low_level
1025,Female,4,1110,114,1,1,1,5,112,132,1,high_level
28148,Male,7,1131,112,1,1,1,1,111,122,1,low_level
12121,Female,7,1121,112,1,1,1,5,111,135,2,low_level
17443,Male,9,1122,114,1,1,1,5,111,122,2,low_level
50329,Female,7,1122,114,1,1,1,5,111,138,2,low_level
37191,Female,9,1122,114,1,1,1,3,111,136,2,low_level
2498,Male,10,1122,125,1,1,1,5,111,135,2,high_level
28321,Male,12,1121,112,1,1,1,4,111,136,2,high_level
19029,Female,9,1122,114,1,1,1,2,111,133,2,high_level
15270,Female,4,1110,114,1,1,1,3,112,131,1,high_level
27652,Male,8,1122,125,1,1,3,3,111,132,2,high_level
37055,Female,8,1132,114,1,1,1,2,111,131,4,high_level
30764,Female,10,1122,113,1,1,1,3,111,139,2,high_level
26788,Female,8,1122,113,1,1,1,3,111,136,2,low_level
52019,Male,12,1122,114,1,1,1,5,111,137,2,low_level
33195,Female,10,1122,114,1,1,1,2,120,132,2,low_level
59716,Male,15,1121,112,1,1,1,1,111,135,2,high_level
10295,Female,9,1122,114,1,1,1,2,111,122,2,high_level
10889,Female,6,1121,112,1,1,1,1,111,135,2,high_level
19698,Female,11,1122,113,1,1,1,2,111,131,2,high_level
11668,Male,8,1122,114,1,1,1,2,111,135,2,high_level
24627,Male,13,1121,112,1,1,1,3,120,111,2,low_level
32242,Male,8,1131,112,1,1,1,3,111,135,4,low_level
7003,Male,10,1122,113,1,1,1,5,111,137,2,low_level
1181,Male,14,1210,111,1,1,1,2,120,111,4,low_level
10391,Male,7,1210,111,1,1,1,4,111,133,1,low_level
11570,Male,10,1122,125,1,1,1,5,111,135,2,low_level
48732,Female,9,1210,111,1,1,1,5,111,137,1,high_level
6809,Female,7,1132,113,1,1,1,3,111,131,1,high_level
58704,Male,11,1131,112,1,1,1,5,111,137,4,low_level
55493,Male,8,1131,112,1,1,1,3,120,135,1,low_level
1664,Male,4,1110,113,1,1,1,3,112,122,1,high_level
27219,Female,10,1210,111,1,1,1,5,111,138,1,high_level
59942,Male,12,1122,113,1,1,1,5,111,137,2,low_level
17146,Male,7,1122,114,1,1,1,5,111,135,2,low_level
27923,Female,7,1140,112,1,1,1,5,111,122,4,high_level
34963,Female,4,1110,125,1,1,1,3,112,132,1,high_level
49148,Male,4,1110,125,1,1,1,1,112,135,1,high_level
1756,Female,9,1122,114,1,1,1,4,111,136,2,high_level
4083,Male,10,1122,125,1,1,1,5,111,135,2,low_level
39018,Male,7,1121,112,1,1,1,3,111,135,2,low_level
60266,Female,8,1122,114,1,1,1,3,111,122,2,high_level
33714,Female,8,1122,114,1,1,1,5,111,138,2,low_level
22347,Male,8,1122,114,1,1,1,3,111,122,2,high_level
13806,Female,10,1121,114,1,1,1,1,111,131,2,high_level
34110,Male,8,1132,114,1,1,1,4,111,131,1,low_level
29778,Female,7,1122,114,1,1,1,5,111,138,2,low_level
49693,Male,7,1122,114,1,1,1,3,111,135,2,low_level
10026,Female,7,1131,112,1,1,1,5,111,136,1,low_level
56289,Male,6,1131,112,1,1,1,5,111,131,1,high_level
52287,Male,11,1122,114,1,1,1,3,111,122,2,high_level
16569,Male,9,1122,125,1,1,3,1,111,135,2,high_level
4906,Male,9,1210,111,1,1,3,3,120,131,1,low_level
22898,Male,8,1122,126,1,1,1,3,120,131,2,low_level
35994,Female,6,1131,112,1,1,1,5,111,122,1,low_level
8122,Male,5,1210,111,2,1,1,3,111,132,1,high_level
7152,Male,10,1122,114,1,1,3,4,111,136,2,high_level
47727,Female,12,1121,112,1,1,1,3,111,135,2,high_level
51164,Male,6,1131,112,1,1,1,5,111,131,1,low_level
33597,Male,9,1122,113,1,1,1,5,111,122,2,low_level
30682,Female,8,1122,114,1,1,1,5,111,137,2,low_level
39156,Male,9,1122,125,1,1,3,5,111,122,2,low_level
40180,Male,6,1132,113,1,1,1,1,111,136,1,high_level
52718,Male,5,1131,112,1,1,1,3,111,132,1,high_level
35812,Male,10,1132,113,1,1,1,3,111,139,4,low_level
5965,Female,10,1122,114,1,1,1,2,111,135,2,high_level
44293,Female,10,1121,112,1,1,1,2,111,131,2,high_level
39174,Male,10,1122,114,1,1,1,5,111,135,2,low_level
58919,Female,7,1210,111,1,1,1,5,111,138,1,low_level
40146,Male,4,1110,125,1,1,1,3,112,131,1,high_level
24561,Female,7,1122,126,1,1,1,5,111,138,2,low_level
7705,Female,5,1110,125,1,1,1,3,111,131,1,high_level
34301,Female,10,1132,114,1,1,1,2,111,136,4,high_level
14802,Male,4,1110,125,1,1,1,2,112,135,1,low_level
30554,Female,8,1210,111,1,1,1,3,111,138,1,high_level
16868,Female,4,1110,125,1,1,1,2,112,131,1,high_level
26510,Male,8,1122,113,1,1,1,5,111,138,2,low_level
20531,Female,6,1131,112,1,1,1,5,111,135,1,low_level
12346,Female,8,1140,112,1,1,1,3,111,138,4,high_level
51518,Male,9,1210,111,1,1,3,5,111,135,1,high_level
25243,Female,7,1132,114,1,1,1,3,111,131,1,high_level
52808,Male,12,1121,112,1,1,1,5,111,122,2,low_level
51548,Male,10,1121,112,1,1,1,5,111,137,2,low_level
35406,Female,9,1122,114,1,1,1,5,111,138,2,low_level
47729,Male,12,1121,112,1,1,1,2,111,131,2,high_level
21741,Female,6,1131,112,1,1,1,3,111,134,1,high_level
45447,Female,10,1122,114,1,1,1,1,111,135,2,high_level
4346,Male,9,1122,114,1,1,1,1,111,124,2,low_level
10051,Male,5,1110,125,1,1,1,3,112,131,1,high_level
19826,Female,10,1122,113,1,1,1,4,111,138,2,low_level
29859,Female,7,1122,113,1,1,1,3,111,131,2,high_level
3489,Male,9,1122,114,1,1,1,5,111,138,2,low_level
14245,Male,9,1122,113,1,2,2,5,111,138,2,high_level
42429,Female,9,1210,111,1,1,1,3,111,138,1,high_level
16607,Female,9,1122,125,1,1,1,5,111,138,2,low_level
47489,Female,9,1122,113,1,1,2,5,111,135,2,low_level
25598,Male,8,1122,114,1,2,2,4,120,133,2,low_level
60016,Female,10,1122,114,1,1,1,5,111,137,2,low_level
42175,Female,14,1121,112,1,1,1,1,120,111,2,low_level
18584,Female,6,1131,112,1,1,1,3,111,131,1,high_level
40501,Female,9,1122,125,1,1,1,3,111,138,2,low_level
19284,Female,5,1110,113,2,1,1,5,111,135,1,high_level
31019,Male,13,1121,112,1,1,1,3,120,131,2,low_level
29993,Male,10,1122,114,1,2,3,3,111,139,2,high_level
36096,Male,7,1122,113,1,1,1,2,111,133,2,high_level
5643,Male,6,1122,114,1,1,1,2,111,124,2,high_level
58246,Female,5,1110,114,1,1,1,2,112,132,1,high_level
10010,Female,11,1131,112,1,1,1,5,111,138,1,low_level
13187,Male,7,1131,112,1,1,1,3,111,135,1,low_level
18419,Female,7,1122,113,1,1,1,5,111,137,2,low_level
8456,Male,10,1122,126,1,1,1,3,111,135,2,low_level
30759,Male,12,1121,112,1,1,1,3,111,136,2,low_level
47807,Female,5,1110,113,1,1,1,2,111,131,1,high_level
60217,Female,8,1121,112,1,1,1,2,111,132,2,high_level
41688,Male,8,1122,114,1,1,1,4,111,133,2,high_level
35442,Male,6,1131,112,1,1,1,5,111,137,1,low_level
20381,Male,7,1131,112,1,1,1,3,111,136,1,high_level
56720,Male,10,1122,114,1,1,1,3,111,134,2,high_level
9035,Female,11,1122,113,1,1,1,2,111,131,2,low_level
56172,Female,7,1122,113,1,1,1,3,111,131,2,high_level
52205,Male,9,1210,111,1,1,1,3,111,131,1,high_level
38156,Female,7,1122,114,1,1,1,2,111,134,2,high_level
34518,Female,11,1210,111,1,1,1,3,111,139,4,high_level
58332,Male,9,1122,114,1,1,1,2,120,124,2,high_level
26814,Female,6,1122,113,1,1,1,3,111,122,2,low_level
8147,Female,11,1210,111,1,1,1,5,111,137,1,low_level
18169,Female,8,1122,114,1,3,3,1,111,135,2,high_level
25434,Male,7,1122,114,1,1,1,3,111,135,2,low_level
9509,Male,6,1121,112,1,1,1,5,111,131,2,low_level
22848,Female,7,1122,114,1,1,1,3,111,138,2,high_level
23932,Male,4,1110,114,1,1,1,2,112,132,1,high_level
9869,Male,7,1122,114,1,1,1,2,120,132,2,low_level
45628,Female,8,1140,112,1,1,1,1,111,138,2,high_level
12375,Male,8,1122,113,1,1,1,5,111,138,2,low_level
35900,Male,12,1122,113,1,1,1,2,111,139,2,high_level
40003,Female,6,1210,111,1,1,1,3,111,131,1,low_level
57524,Male,7,1131,112,1,1,1,5,111,133,1,low_level
13787,Male,9,1110,112,1,1,1,3,111,135,1,high_level
25312,Female,12,1121,112,1,1,1,1,111,138,2,high_level
7300,Female,8,1122,114,1,1,1,2,111,132,2,high_level
24571,Female,7,1122,114,1,1,1,2,111,131,2,high_level
43687,Female,4,1110,114,1,1,1,1,112,131,1,high_level
9058,Male,5,1110,113,1,1,1,5,112,131,1,high_level
49140,Female,9,1122,113,1,1,1,3,111,135,2,high_level
852,Male,11,1121,112,1,1,1,5,111,122,2,low_level
41351,Female,9,1122,125,1,1,1,5,111,137,2,low_level
14140,Female,12,1122,113,1,1,3,3,111,138,2,high_level
50951,Male,6,1210,111,1,1,1,3,111,122,1,low_level
42380,Male,9,1122,114,1,1,1,2,111,135,2,high_level
58177,Male,5,1210,111,1,1,1,3,112,133,1,high_level
53306,Male,11,1122,114,1,1,1,5,111,136,2,low_level
17954,Female,12,1121,112,1,1,1,1,111,135,2,high_level
44039,Male,11,1122,113,1,1,1,5,120,138,2,low_level
9008,Male,7,1210,111,1,1,3,5,111,135,4,low_level
18518,Female,5,1121,112,1,1,1,3,111,131,2,high_level
58199,Male,11,1122,126,1,1,1,3,120,111,2,low_level
55003,Male,9,1210,111,1,1,1,3,111,138,1,high_level
25636,Female,7,1121,113,1,1,1,5,111,133,2,low_level
6731,Male,6,1132,113,1,1,3,2,111,136,1,high_level
19434,Male,11,1122,114,1,1,1,3,111,131,2,low_level
38567,Female,11,1122,113,1,1,1,3,111,133,2,high_level
48680,Male,13,1122,113,2,1,1,5,111,136,2,low_level
18507,Female,10,1122,114,1,1,1,2,120,131,2,low_level
53409,Female,9,1122,114,1,3,1,1,111,131,2,high_level
7785,Female,8,1140,112,1,1,1,3,111,137,1,low_level
57951,Male,4,1110,125,1,1,1,2,112,139,1,high_level
35305,Male,4,1110,113,1,1,1,2,112,135,1,high_level
15065,Female,5,1110,125,1,1,1,2,112,131,1,high_level
44788,Male,11,1122,125,1,1,1,5,111,136,2,low_level
47507,Male,10,1122,114,1,1,1,5,111,138,2,low_level
42024,Female,7,1122,114,1,1,1,5,111,138,2,low_level
2221,Female,9,1122,125,1,1,1,5,111,138,2,low_level
22525,Male,7,1122,114,1,2,2,2,111,122,2,high_level
4526,Male,11,1122,114,1,1,1,5,111,137,2,low_level
48061,Male,10,1122,114,1,1,1,4,111,134,2,low_level
36303,Male,8,1122,114,1,1,1,5,120,135,2,low_level
5658,Female,5,1110,114,1,1,1,3,111,131,1,high_level
16458,Female,12,1121,112,1,1,1,2,111,131,2,high_level
48321,Male,10,1122,114,1,1,1,3,111,133,2,high_level
23455,Male,6,1121,112,1,1,1,5,111,135,2,low_level
41579,Male,7,1121,112,1,1,1,5,111,135,2,low_level
26471,Male,14,1121,112,1,1,1,4,111,138,2,low_level
57101,Male,4,1110,112,1,1,1,1,112,131,1,high_level
45367,Male,6,1131,112,1,1,1,5,112,136,1,low_level
11340,Female,5,1110,114,1,1,1,3,111,139,1,high_level
47508,Female,6,1121,112,1,1,1,2,111,122,2,high_level
28390,Female,7,1122,113,1,1,1,5,111,138,2,low_level
11553,Female,8,1122,114,1,1,1,3,111,122,2,high_level
40848,Female,10,1121,112,1,1,1,2,111,131,2,high_level
23800,Male,11,1121,112,1,1,1,5,111,135,2,low_level
59106,Male,7,1122,113,1,1,1,3,111,131,2,high_level
1424,Female,5,1110,114,1,1,1,3,112,135,1,high_level
22072,Male,10,1122,113,1,1,1,3,120,131,2,low_level
55587,Female,4,1110,114,1,1,1,3,112,131,1,high_level
12744,Male,7,1121,112,1,1,1,5,111,138,2,low_level
40317,Female,7,1121,112,1,1,1,4,111,138,2,low_level
35664,Male,5,1210,111,1,1,1,4,112,132,1,high_level
46079,Female,7,1140,112,1,1,1,5,111,137,1,low_level
29151,Female,5,1131,112,1,1,1,2,111,124,1,high_level
5540,Male,6,1210,111,1,1,1,2,111,131,1,high_level
8446,Female,9,1122,114,1,1,1,1,111,122,2,high_level
46738,Female,6,1110,113,1,1,1,1,111,138,1,high_level
26378,Female,9,1122,114,1,1,1,5,111,137,2,low_level
55169,Male,5,1110,113,1,1,1,3,112,132,1,high_level
14871,Male,12,1121,112,1,1,1,5,111,137,2,low_level
15006,Female,10,1121,112,1,1,1,2,111,131,2,high_level
18825,Female,5,1110,113,1,1,1,1,111,122,1,high_level
47978,Female,9,1122,126,1,1,1,3,120,111,2,low_level
2442,Male,11,1121,112,1,1,1,5,111,136,2,low_level
15202,Female,9,1122,113,1,1,2,1,111,135,2,high_level
52241,Female,7,1122,114,1,2,2,1,111,135,2,high_level
14063,Male,6,1210,111,1,1,1,4,112,122,1,high_level
48759,Male,9,1122,114,1,1,3,5,111,134,2,low_level
31399,Male,9,1121,112,1,1,3,2,111,122,2,low_level
13714,Female,8,1122,114,1,1,1,3,111,131,2,high_level
19727,Male,8,1122,113,1,1,2,5,111,135,2,low_level
35633,Female,6,1210,111,1,1,1,2,111,138,1,high_level
36876,Female,6,1121,112,1,1,1,2,111,122,2,high_level
53080,Male,10,1122,114,1,1,1,2,120,131,2,low_level
9789,Male,9,1122,114,1,1,1,1,111,138,2,high_level
42558,Female,11,1210,111,1,1,1,3,111,122,1,high_level
44430,Female,10,1122,113,1,1,1,3,111,135,2,high_level
11838,Male,10,1110,114,1,1,1,3,111,122,1,high_level
51242,Male,10,1210,111,1,1,1,5,111,136,1,low_level
45129,Female,11,1122,113,1,1,1,5,111,138,2,low_level
7975,Female,10,1122,114,1,1,1,5,111,138,2,high_level
58673,Male,13,1121,113,1,1,1,3,111,134,2,low_level
50020,Male,10,1210,111,1,1,1,3,111,131,1,high_level
34672,Female,4,1110,114,1,1,1,3,112,135,1,high_level
11487,Female,10,1210,111,1,1,1,5,120,139,4,high_level
33962,Female,8,1140,113,1,1,1,5,111,138,3,low_level
25831,Female,8,1122,114,1,1,1,3,120,111,2,low_level
3848,Male,11,1140,112,1,1,1,5,111,135,4,low_level
51398,Male,12,1122,113,1,1,1,2,120,111,2,low_level
12024,Male,8,1122,125,1,1,1,5,111,134,2,low_level
45527,Female,12,1121,112,1,1,1,2,111,133,2,high_level
31451,Female,6,1210,111,1,1,1,5,111,138,1,low_level
53667,Female,7,1210,111,1,1,1,3,111,122,1,high_level
17025,Female,10,1121,114,1,1,1,2,111,111,2,high_level
49706,Female,9,1122,114,1,1,1,5,111,137,2,low_level
49257,Male,11,1121,112,1,1,1,2,111,133,2,high_level
4432,Male,9,1122,114,1,1,1,4,111,136,2,low_level
16945,Male,12,1121,112,1,1,1,2,111,131,2,low_level
23755,Male,4,1110,114,1,1,1,2,112,131,1,high_level
26460,Male,12,1122,113,1,1,1,3,111,131,2,low_level
58383,Male,5,1110,114,1,1,1,3,111,122,1,high_level
5117,Male,7,1122,125,1,1,1,2,111,122,2,low_level
32163,Male,9,1122,114,1,1,1,4,111,135,2,low_level
46149,Male,8,1210,111,1,1,1,2,111,124,4,high_level
4770,Male,8,1122,113,1,1,1,3,111,131,2,low_level
24167,Female,6,1122,113,1,1,1,2,111,138,2,high_level
14721,Male,9,1110,114,1,1,1,5,120,131,1,low_level
25605,Male,12,1121,112,1,1,1,3,111,131,2,low_level
27056,Female,7,1122,113,1,1,1,3,111,138,2,high_level
9076,Female,7,1210,111,1,1,1,5,111,135,1,low_level
48890,Female,8,1122,125,1,1,1,1,111,131,2,high_level
16788,Male,8,1122,125,1,1,1,5,111,138,2,low_level
6636,Male,5,1220,113,1,1,1,3,111,132,1,high_level
17720,Male,8,1121,112,1,1,1,5,111,133,2,low_level
40684,Male,7,1110,113,1,1,1,5,111,131,1,low_level
51596,Male,5,1110,113,1,1,1,2,112,122,1,high_level
31047,Male,8,1122,114,1,1,1,5,111,122,2,low_level
50840,Male,10,1122,113,1,1,1,3,111,138,2,high_level
39783,Male,5,1110,125,1,1,1,3,112,135,1,high_level
45658,Female,5,1210,111,1,1,1,3,111,138,1,high_level
31206,Male,4,1110,114,1,1,1,1,112,122,1,high_level
46073,Female,6,1131,112,1,1,1,1,111,139,4,high_level
11554,Male,11,1122,125,1,1,1,3,111,122,2,low_level
42648,Female,5,1131,112,1,1,1,3,111,132,1,low_level
12467,Female,8,1140,114,1,1,1,2,111,131,4,high_level
32709,Male,11,1122,114,1,1,2,2,111,138,2,high_level
24393,Female,4,1110,114,1,1,1,1,112,132,1,high_level
21873,Male,7,1122,114,1,1,1,3,111,136,2,high_level
52165,Male,12,1121,112,1,1,1,3,111,131,2,low_level
34578,Male,7,1131,112,1,1,1,3,111,133,1,high_level
29358,Female,9,1122,114,1,1,1,5,111,136,2,low_level
43413,Female,6,1131,112,1,1,1,5,111,135,1,low_level
27878,Male,10,1122,114,1,1,1,2,111,122,2,high_level
28538,Male,11,1121,112,1,1,1,1,120,135,2,low_level
1091,Female,4,1110,114,1,1,1,2,112,131,1,high_level
28087,Female,4,1110,113,1,1,1,1,112,131,1,high_level
58141,Male,10,1122,114,1,1,1,2,111,136,2,low_level
2078,Male,5,1110,113,1,1,1,2,112,131,1,high_level
54433,Male,10,1121,112,1,1,1,5,111,137,2,low_level
24615,Female,10,1122,114,1,1,1,2,111,138,2,high_level
59326,Female,4,1110,114,1,1,1,2,111,131,1,high_level
325,Male,11,1122,113,1,1,1,3,120,131,2,low_level
56048,Female,8,1122,114,1,1,1,3,111,138,2,low_level
17910,Male,6,1122,113,1,1,1,5,111,122,2,low_level
21792,Male,9,1122,125,1,1,1,2,120,111,2,low_level
12188,Male,5,1210,111,1,1,1,4,112,132,1,high_level
19280,Female,11,1121,112,1,1,1,1,111,122,2,high_level
9780,Male,10,1122,114,1,1,1,3,111,136,2,low_level
29908,Female,10,1122,114,1,1,1,3,111,135,2,high_level
27406,Female,7,1132,113,1,1,1,1,111,122,1,high_level
24299,Male,6,1131,112,1,1,2,5,111,135,1,low_level
18737,Male,9,1122,113,1,1,1,2,111,124,2,high_level
15120,Female,11,1121,112,1,1,1,1,111,139,2,high_level
46488,Male,12,1121,112,1,1,1,2,111,131,2,low_level
55908,Female,11,1122,113,1,1,1,2,111,139,2,high_level
18588,Male,9,1122,114,1,1,1,5,111,122,2,low_level
5095,Male,8,1122,125,1,1,1,3,111,131,2,low_level
23205,Male,5,1110,113,1,1,1,3,112,131,1,high_level
643,Female,9,1122,125,1,1,1,2,111,135,2,low_level
10825,Male,5,1110,113,1,1,1,2,112,136,1,high_level
52881,Male,7,1121,112,1,1,1,3,111,122,2,low_level
29472,Male,10,1122,113,1,1,1,4,111,135,2,low_level
24394,Female,5,1210,111,1,1,1,4,112,132,1,high_level
47855,Male,7,1122,114,1,2,1,3,111,131,2,low_level
42190,Male,9,1140,112,1,1,1,3,111,138,4,low_level
35839,Male,6,1110,113,1,1,1,3,111,135,1,high_level
46410,Female,6,1122,113,1,1,1,2,111,138,2,high_level
23838,Male,6,1121,112,1,1,1,3,111,138,2,high_level
44104,Male,13,1121,112,1,1,1,5,111,138,2,low_level
35815,Female,6,1132,113,1,1,1,3,111,131,1,high_level
49302,Male,4,1110,113,1,1,1,1,112,131,1,high_level
33927,Male,4,1110,114,1,1,1,3,111,131,1,high_level
40462,Male,8,1122,114,1,1,1,5,111,135,2,low_level
48520,Female,9,1122,114,1,1,1,2,111,132,2,high_level
8756,Female,8,1122,125,1,1,1,3,111,138,2,high_level
8293,Male,11,1121,112,1,1,1,4,111,122,2,low_level
9172,Male,7,1122,114,1,1,1,5,111,122,2,low_level
52603,Male,9,1122,114,1,1,1,5,120,135,2,low_level
57409,Female,11,1110,113,1,1,1,3,111,136,1,high_level
49863,Male,4,1110,114,1,1,1,2,112,131,1,high_level
59675,Male,10,1140,112,1,1,1,3,111,137,4,high_level
19277,Female,5,1131,112,1,1,1,3,111,138,1,high_level
33993,Male,8,1122,113,1,1,1,5,111,136,2,low_level
43097,Female,8,1122,114,1,1,1,0,111,139,2,high_level
50766,Male,9,1122,126,1,1,1,3,120,111,2,low_level
58183,Male,11,1122,113,1,1,1,3,111,122,2,low_level
24776,Male,12,1122,113,1,1,1,5,111,134,2,low_level
15487,Male,6,1131,112,1,1,1,3,111,131,1,high_level
33015,Female,10,1121,112,1,1,1,3,111,134,2,high_level
49870,Male,6,1110,125,1,1,1,4,111,135,1,low_level
11785,Male,9,1122,114,1,1,1,5,120,135,2,low_level
22192,Female,10,1122,113,1,1,1,3,111,136,2,high_level
59465,Female,4,1110,125,1,1,1,1,112,131,1,high_level
17806,Female,8,1122,113,1,1,1,3,111,131,2,high_level
34177,Female,10,1122,113,1,1,1,1,111,139,2,high_level
16532,Female,9,1122,125,1,1,1,3,111,135,2,high_level
32084,Female,10,1210,111,1,1,1,5,111,136,1,low_level
38029,Male,11,1122,114,1,1,1,5,111,135,2,low_level
51297,Female,8,1132,114,1,1,1,3,111,138,4,high_level
24257,Female,7,1131,112,1,1,1,4,111,135,1,high_level
53957,Female,8,1131,112,1,1,1,1,111,122,4,high_level
49244,Female,5,1110,113,1,1,1,1,111,132,1,low_level
23686,Female,11,1121,112,1,1,1,1,111,131,2,high_level
25932,Female,8,1140,113,1,1,1,4,111,135,2,low_level
32169,Male,7,1210,111,1,1,1,5,111,131,1,low_level
7214,Female,10,1122,113,1,1,1,2,111,138,2,high_level
58314,Female,12,1121,112,1,1,1,2,111,138,2,high_level
50210,Female,10,1121,112,1,1,3,3,111,136,2,high_level
10134,Female,7,1122,114,1,1,1,3,111,137,2,low_level
48692,Male,6,1210,111,1,1,1,5,111,135,1,low_level
57923,Male,12,1121,112,1,1,1,5,111,135,2,low_level
57583,Male,10,1122,114,1,1,1,2,111,134,2,high_level
24863,Female,11,1122,114,1,1,1,5,111,137,2,low_level
9933,Female,5,1110,114,1,1,1,3,111,135,1,high_level
46802,Male,8,1121,112,2,1,1,4,111,135,2,low_level
15505,Male,10,1122,125,1,1,1,3,111,122,2,low_level
48352,Female,11,1210,111,1,1,1,3,111,138,4,high_level
10783,Male,8,1122,126,1,1,1,3,111,139,2,high_level
43165,Female,10,1122,114,1,1,1,3,120,111,2,low_level
5732,Male,8,1122,114,1,1,1,3,120,131,2,low_level
