,id,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_days_jail,c_charge_degree,is_recid,two_year_recid
546,838,Male,44,25 - 45,African-American,0,0,0,1,0.0,M,0,0
4057,6182,Male,26,25 - 45,African-American,0,0,0,0,1.0,M,0,0
4981,7581,Male,27,25 - 45,African-American,0,0,0,0,0.0,M,1,1
4742,7239,Male,31,25 - 45,Other,0,0,0,6,1.0,M,1,1
5337,8137,Male,34,25 - 45,African-American,0,0,0,1,23.0,F,0,0
3946,6014,Male,35,25 - 45,Caucasian,0,0,0,8,252.0,F,1,1
7143,10903,Male,20,Less than 25,African-American,0,0,1,1,109.0,F,1,1
1746,2652,Male,25,25 - 45,African-American,0,0,0,5,85.0,F,0,0
161,244,Female,30,25 - 45,Caucasian,0,0,0,3,530.0,F,1,1
1428,2186,Male,43,25 - 45,Caucasian,0,0,0,1,65.0,F,1,1
7020,10690,Male,24,Less than 25,African-American,0,0,0,0,2.0,F,0,0
360,537,Male,49,Greater than 45,African-American,0,0,0,3,4.0,F,0,0
3533,5402,Female,23,Less than 25,African-American,0,0,0,2,116.0,F,1,1
731,1110,Female,36,25 - 45,African-American,0,0,0,4,1.0,F,1,1
6760,10312,Female,31,25 - 45,African-American,0,0,0,3,1.0,M,1,1
6886,10492,Female,25,25 - 45,Hispanic,0,1,2,14,1.0,F,0,0
3755,5733,Male,24,Less than 25,African-American,0,0,0,0,0.0,F,0,0
333,496,Female,25,25 - 45,Caucasian,0,0,0,2,1.0,M,1,1
2381,3634,Male,39,25 - 45,Caucasian,0,0,0,0,54.0,F,0,0
3932,5994,Female,21,Less than 25,African-American,0,0,0,0,2.0,F,1,1
5036,7670,Male,26,25 - 45,African-American,0,0,0,4,2.0,F,1,1
5500,8382,Male,44,25 - 45,Other,0,0,0,6,3.0,F,1,1
975,1498,Male,52,Greater than 45,Caucasian,0,0,0,1,2.0,F,0,0
4764,7268,Male,35,25 - 45,African-American,0,0,0,29,32.0,F,0,0
4879,7434,Male,24,Less than 25,African-American,0,0,0,1,156.0,F,0,0
6101,9298,Male,37,25 - 45,Hispanic,0,0,0,3,0.0,M,0,0
4179,6381,Male,33,25 - 45,African-American,0,0,0,13,0.0,F,1,1
4344,6627,Male,41,25 - 45,Hispanic,0,0,0,1,30.0,M,0,0
3013,4604,Male,48,Greater than 45,Hispanic,0,0,0,1,167.0,M,0,0
5357,8163,Male,24,Less than 25,African-American,0,0,0,0,1.0,M,1,1
3019,4612,Male,31,25 - 45,Caucasian,0,0,0,4,5.0,F,1,1
5395,8222,Male,21,Less than 25,Caucasian,0,0,0,0,1.0,F,1,1
5590,8517,Male,23,Less than 25,African-American,0,0,0,0,1.0,M,1,1
1491,2285,Male,29,25 - 45,African-American,0,0,0,7,2.0,F,0,0
3118,4763,Male,24,Less than 25,Caucasian,0,0,2,1,1.0,F,0,0
998,1534,Male,29,25 - 45,African-American,0,0,0,2,38.0,F,0,0
7039,10723,Female,28,25 - 45,Caucasian,0,0,0,7,7.0,F,1,1
4160,6354,Female,61,Greater than 45,Caucasian,0,0,0,8,31.0,F,1,1
563,859,Male,23,Less than 25,African-American,0,0,0,1,0.0,F,0,0
5227,7973,Male,25,25 - 45,African-American,0,0,0,0,1.0,M,0,0
2077,3169,Male,53,Greater than 45,Caucasian,0,0,0,0,1.0,M,0,0
1246,1905,Male,27,25 - 45,Other,0,0,0,0,2.0,F,0,0
3068,4681,Male,21,Less than 25,African-American,0,0,0,1,86.0,F,1,1
5660,8629,Male,38,25 - 45,Other,0,0,0,1,1.0,F,0,0
4144,6324,Male,23,Less than 25,Hispanic,0,0,1,2,35.0,F,0,0
3156,4825,Male,22,Less than 25,African-American,0,0,0,0,1.0,M,1,1
4778,7288,Male,33,25 - 45,African-American,0,0,0,3,7.0,F,1,1
5000,7613,Male,51,Greater than 45,Hispanic,0,0,0,1,7.0,F,0,0
4558,6967,Male,20,Less than 25,Caucasian,0,0,5,0,1.0,M,0,0
2576,3936,Male,43,25 - 45,African-American,0,0,0,6,1.0,M,1,1
7174,10949,Male,19,Less than 25,African-American,1,0,0,1,1.0,F,1,1
7135,10889,Male,56,Greater than 45,African-American,0,0,0,4,17.0,F,0,0
5599,8530,Male,45,Greater than 45,Hispanic,0,0,0,0,1.0,F,0,0
5135,7818,Male,41,25 - 45,Caucasian,0,0,0,1,62.0,F,0,0
5515,8406,Male,30,25 - 45,Caucasian,0,0,0,5,3.0,F,1,1
1439,2206,Male,30,25 - 45,African-American,0,0,0,2,1.0,M,0,0
6620,10092,Male,66,Greater than 45,African-American,0,0,0,5,1.0,F,1,1
6164,9397,Male,26,25 - 45,Other,0,0,0,0,2.0,F,1,1
2048,3130,Male,41,25 - 45,African-American,0,0,0,19,62.0,F,1,0
6035,9210,Male,24,Less than 25,Hispanic,1,0,0,4,1.0,F,1,1
6667,10171,Male,34,25 - 45,African-American,0,0,0,6,131.0,F,1,1
4456,6802,Female,38,25 - 45,Caucasian,0,0,0,1,2.0,M,0,0
773,1171,Male,28,25 - 45,Hispanic,0,0,0,0,1.0,F,0,0
5047,7682,Female,26,25 - 45,African-American,0,0,0,1,4.0,F,0,0
6590,10050,Female,34,25 - 45,Other,0,0,0,0,13.0,F,1,0
4276,6525,Male,51,Greater than 45,Caucasian,0,0,0,1,1.0,F,1,1
2832,4330,Male,42,25 - 45,African-American,0,0,0,1,6.0,M,1,1
5246,8002,Male,46,Greater than 45,African-American,0,0,0,2,4.0,M,0,0
485,732,Male,29,25 - 45,Hispanic,0,0,0,2,1.0,M,0,0
5276,8047,Male,23,Less than 25,African-American,0,1,0,2,1.0,F,0,0
1009,1550,Male,60,Greater than 45,Caucasian,0,0,0,1,1.0,F,0,0
5375,8193,Male,20,Less than 25,African-American,0,0,0,0,2.0,F,1,1
1309,2014,Male,30,25 - 45,Caucasian,0,0,0,0,0.0,M,0,0
1819,2758,Male,25,25 - 45,African-American,0,0,0,0,1.0,F,0,0
6175,9414,Male,41,25 - 45,Caucasian,0,0,0,1,2.0,M,1,1
2713,4140,Female,41,25 - 45,Caucasian,0,0,0,1,0.0,M,0,0
5574,8487,Male,37,25 - 45,Caucasian,0,0,0,3,242.0,F,0,0
6239,9524,Male,29,25 - 45,Caucasian,0,0,0,1,11.0,M,0,0
6622,10095,Male,27,25 - 45,African-American,0,0,0,2,1.0,F,0,0
4571,6989,Male,32,25 - 45,Caucasian,0,0,0,0,3.0,F,1,1
6853,10444,Male,30,25 - 45,African-American,2,0,0,8,1.0,F,1,0
1563,2396,Female,57,Greater than 45,Caucasian,0,0,0,0,1.0,M,0,0
5143,7834,Male,33,25 - 45,African-American,0,0,0,1,1.0,F,0,0
3702,5657,Male,32,25 - 45,African-American,0,0,0,7,37.0,F,1,1
44,64,Male,29,25 - 45,African-American,0,0,0,0,0.0,F,1,1
948,1455,Male,54,Greater than 45,African-American,0,0,0,0,2.0,F,0,0
6567,10018,Female,24,Less than 25,African-American,0,0,0,0,0.0,F,0,0
33,45,Male,55,Greater than 45,Caucasian,0,0,0,0,2.0,F,0,0
2638,4023,Female,33,25 - 45,Caucasian,0,0,0,0,1.0,M,0,0
1625,2486,Female,33,25 - 45,Caucasian,0,0,0,7,1.0,M,0,0
445,675,Male,61,Greater than 45,Caucasian,0,0,0,4,2.0,F,0,0
2369,3617,Male,42,25 - 45,African-American,0,0,0,4,0.0,M,0,0
2775,4235,Male,51,Greater than 45,African-American,0,0,0,9,35.0,F,1,1
6191,9440,Male,21,Less than 25,African-American,0,0,0,0,0.0,F,0,0
1848,2804,Male,44,25 - 45,African-American,0,0,0,10,5.0,M,1,1
3198,4894,Female,35,25 - 45,Other,0,0,0,0,1.0,M,0,0
1206,1850,Male,32,25 - 45,African-American,0,0,0,4,414.0,F,1,1
2688,4102,Male,22,Less than 25,African-American,0,1,0,2,0.0,F,0,0
1412,2162,Female,37,25 - 45,African-American,0,0,0,0,5.0,M,0,0
4062,6192,Male,45,Greater than 45,Caucasian,0,0,0,7,1.0,F,0,0
3155,4824,Male,31,25 - 45,African-American,0,0,0,6,19.0,M,1,0
4120,6285,Female,34,25 - 45,Caucasian,0,0,0,0,63.0,F,1,1
3618,5528,Female,28,25 - 45,Caucasian,0,0,0,0,2.0,F,0,0
6926,10546,Female,26,25 - 45,Caucasian,0,0,0,1,1.0,M,0,0
5300,8085,Male,20,Less than 25,African-American,0,0,0,0,1.0,F,1,1
807,1223,Female,19,Less than 25,Caucasian,1,1,0,1,1.0,M,1,1
1676,2550,Male,33,25 - 45,Caucasian,0,0,0,0,0.0,F,0,0
1024,1571,Male,46,Greater than 45,Caucasian,0,0,0,0,1.0,F,0,0
2701,4122,Female,25,25 - 45,Caucasian,0,0,0,0,1.0,F,0,0
4528,6920,Male,38,25 - 45,African-American,0,1,0,10,1.0,M,0,0
4058,6183,Female,23,Less than 25,Caucasian,0,0,0,2,1.0,M,0,0
2192,3347,Female,36,25 - 45,African-American,0,0,0,7,2.0,F,1,1
4902,7465,Male,22,Less than 25,Caucasian,0,0,0,0,1.0,F,0,0
67,98,Male,27,25 - 45,African-American,0,1,0,6,30.0,F,1,1
4141,6321,Male,32,25 - 45,African-American,0,0,0,3,0.0,M,0,0
246,361,Male,53,Greater than 45,Caucasian,0,0,0,1,1.0,M,0,0
2028,3089,Female,23,Less than 25,African-American,0,0,0,0,1.0,M,0,0
2762,4212,Male,22,Less than 25,Native American,0,0,2,0,0.0,M,1,1
2850,4360,Male,51,Greater than 45,Caucasian,0,0,0,0,1.0,M,0,0
6443,9827,Male,27,25 - 45,Caucasian,0,0,0,0,44.0,F,0,0
6281,9584,Female,52,Greater than 45,African-American,0,0,0,0,0.0,F,1,1
489,740,Male,50,Greater than 45,Asian,0,0,0,5,11.0,F,1,1
6052,9234,Female,30,25 - 45,African-American,0,0,0,0,0.0,F,0,0
1546,2371,Male,33,25 - 45,Caucasian,0,0,0,2,2.0,M,0,0
4897,7457,Male,26,25 - 45,African-American,0,0,0,5,27.0,F,1,1
5566,8477,Male,25,25 - 45,African-American,0,0,0,2,1.0,F,0,0
1538,2357,Male,34,25 - 45,African-American,0,0,0,2,0.0,M,0,0
3221,4933,Male,37,25 - 45,African-American,0,0,0,14,1.0,F,0,0
5166,7871,Male,19,Less than 25,African-American,0,0,0,1,4.0,F,1,1
6072,9259,Male,30,25 - 45,Caucasian,0,0,0,0,37.0,F,1,1
736,1121,Male,29,25 - 45,African-American,0,0,0,0,1.0,F,0,0
4436,6771,Male,53,Greater than 45,African-American,0,0,0,4,2.0,F,0,0
1793,2720,Male,41,25 - 45,Hispanic,0,0,0,1,114.0,M,0,0
3246,4962,Male,31,25 - 45,Hispanic,0,0,0,1,3.0,M,0,0
1791,2718,Female,35,25 - 45,African-American,0,0,0,0,2.0,F,1,1
2251,3427,Female,42,25 - 45,Caucasian,0,0,0,0,1.0,M,0,0
6979,10626,Male,46,Greater than 45,Caucasian,0,0,0,0,1.0,F,0,0
7059,10763,Male,47,Greater than 45,African-American,0,0,0,0,1.0,M,0,0
2603,3980,Male,34,25 - 45,African-American,0,0,0,0,29.0,M,1,1
2338,3562,Male,52,Greater than 45,African-American,0,0,0,0,1.0,F,0,0
4318,6587,Male,21,Less than 25,African-American,0,1,0,1,456.0,F,1,1
197,294,Male,34,25 - 45,African-American,0,0,0,2,26.0,M,1,0
1597,2444,Male,45,Greater than 45,African-American,0,0,0,2,29.0,M,0,0
947,1452,Female,21,Less than 25,Caucasian,0,1,0,0,1.0,M,1,1
2193,3348,Male,35,25 - 45,Caucasian,0,0,0,7,76.0,F,1,1
1152,1764,Female,28,25 - 45,Caucasian,0,0,0,0,0.0,M,0,0
3265,4993,Male,52,Greater than 45,Hispanic,0,0,0,3,14.0,F,0,0
777,1177,Male,47,Greater than 45,Caucasian,0,0,0,0,0.0,M,0,0
4998,7611,Male,46,Greater than 45,Caucasian,0,0,0,26,167.0,F,1,1
6462,9854,Male,54,Greater than 45,African-American,0,0,0,4,3.0,F,1,1
723,1097,Male,41,25 - 45,Caucasian,0,0,0,2,0.0,M,0,0
1529,2343,Male,72,Greater than 45,Caucasian,0,0,0,3,5.0,F,0,0
483,730,Male,35,25 - 45,Asian,0,0,0,0,101.0,F,0,0
5821,8867,Male,24,Less than 25,Caucasian,0,0,2,6,7.0,F,0,0
5374,8191,Male,21,Less than 25,African-American,0,0,0,0,1.0,F,0,0
4701,7183,Male,38,25 - 45,African-American,1,0,4,14,0.0,F,0,0
5692,8675,Male,40,25 - 45,Caucasian,0,0,0,5,1.0,F,0,0
5830,8882,Male,22,Less than 25,African-American,0,0,0,2,55.0,M,1,1
5564,8475,Female,32,25 - 45,Caucasian,0,0,0,5,5.0,F,1,0
4093,6236,Male,33,25 - 45,Asian,0,0,0,0,1.0,M,0,0
4683,7156,Male,48,Greater than 45,African-American,0,0,0,4,1.0,F,0,0
4061,6191,Female,27,25 - 45,African-American,1,0,0,1,27.0,F,0,0
1136,1735,Male,37,25 - 45,Caucasian,0,0,0,0,0.0,M,0,0
4989,7595,Female,55,Greater than 45,Hispanic,0,0,0,0,1.0,M,0,0
3305,5062,Female,37,25 - 45,Caucasian,0,0,0,7,7.0,F,1,1
21,26,Male,21,Less than 25,African-American,0,0,0,1,3.0,F,1,1
5089,7742,Male,34,25 - 45,Hispanic,0,0,0,5,1.0,F,1,1
1277,1952,Male,21,Less than 25,African-American,0,0,0,0,0.0,M,0,0
1077,1653,Male,32,25 - 45,Caucasian,0,0,0,6,28.0,M,0,0
1434,2196,Male,49,Greater than 45,African-American,0,0,0,4,36.0,M,0,0
1476,2263,Male,28,25 - 45,Native American,0,0,0,2,49.0,F,0,0
5383,8207,Male,31,25 - 45,Caucasian,0,0,0,3,2.0,M,1,1
1874,2848,Male,23,Less than 25,Caucasian,0,0,0,0,3.0,M,1,1
767,1163,Male,25,25 - 45,African-American,0,0,0,6,6.0,F,1,0
5434,8280,Male,35,25 - 45,African-American,0,0,0,8,9.0,M,0,0
755,1146,Male,26,25 - 45,African-American,0,0,0,4,83.0,F,1,1
2026,3086,Male,31,25 - 45,Hispanic,0,0,0,16,483.0,F,1,1
799,1213,Female,36,25 - 45,African-American,0,0,0,1,1.0,M,0,0
7052,10754,Female,22,Less than 25,Hispanic,0,0,0,0,1.0,M,0,0
1053,1620,Male,53,Greater than 45,Caucasian,0,0,0,0,1.0,F,0,0
919,1397,Male,63,Greater than 45,African-American,0,0,0,3,220.0,M,0,0
4712,7197,Male,37,25 - 45,Caucasian,0,0,0,0,1.0,F,0,0
1054,1622,Male,53,Greater than 45,African-American,0,0,0,2,1.0,F,0,0
4210,6427,Male,36,25 - 45,African-American,0,0,0,4,0.0,M,0,0
1182,1815,Male,42,25 - 45,Native American,0,0,0,0,3.0,M,0,0
705,1069,Male,53,Greater than 45,Caucasian,0,0,0,1,6.0,F,0,0
7004,10667,Female,29,25 - 45,African-American,0,0,0,0,0.0,F,0,0
1779,2697,Male,50,Greater than 45,Hispanic,0,0,0,11,114.0,M,0,0
1678,2556,Male,23,Less than 25,African-American,0,0,0,0,1.0,F,0,0
1494,2289,Female,20,Less than 25,Caucasian,0,2,1,3,1.0,M,1,1
4321,6591,Female,65,Greater than 45,African-American,0,0,0,0,1.0,F,0,0
2370,3618,Male,38,25 - 45,Caucasian,0,0,0,10,1.0,F,1,1
2046,3122,Male,46,Greater than 45,Caucasian,0,0,1,2,3.0,M,1,0
405,612,Male,27,25 - 45,African-American,0,0,0,9,52.0,F,1,1
6856,10447,Male,52,Greater than 45,Caucasian,0,0,0,1,1.0,F,0,0
4047,6169,Male,24,Less than 25,Caucasian,0,0,2,8,35.0,F,1,1
5823,8870,Male,26,25 - 45,Other,0,0,0,3,41.0,F,0,0
6906,10522,Female,67,Greater than 45,Caucasian,0,0,0,0,1.0,M,0,0
7158,10927,Male,21,Less than 25,African-American,0,0,0,1,30.0,F,0,0
618,945,Male,26,25 - 45,African-American,0,0,0,6,0.0,M,0,0
4810,7331,Female,29,25 - 45,Caucasian,0,0,0,0,343.0,F,1,1
2906,4440,Male,29,25 - 45,African-American,0,0,0,1,38.0,M,1,1
6802,10372,Male,35,25 - 45,Caucasian,0,0,0,0,1.0,M,1,1
3384,5177,Male,37,25 - 45,Hispanic,0,0,0,3,2.0,M,1,1
1291,1975,Male,38,25 - 45,Asian,0,0,0,2,8.0,F,0,0
4930,7510,Male,33,25 - 45,African-American,0,0,0,0,1.0,F,0,0
6695,10214,Male,23,Less than 25,African-American,1,1,2,4,31.0,F,0,0
6733,10271,Male,33,25 - 45,Hispanic,0,0,0,2,4.0,M,0,0
3022,4616,Male,24,Less than 25,African-American,0,0,0,4,51.0,F,1,1
4759,7260,Male,54,Greater than 45,Hispanic,0,0,0,0,1.0,F,1,1
2141,3281,Male,30,25 - 45,Caucasian,0,0,0,3,12.0,F,1,1
2694,4112,Male,21,Less than 25,African-American,0,0,0,1,2.0,F,0,0
1624,2485,Female,31,25 - 45,African-American,0,0,0,2,1.0,F,0,0
3817,5827,Male,23,Less than 25,African-American,0,0,0,2,1.0,M,1,1
4203,6414,Male,31,25 - 45,Hispanic,0,0,0,4,0.0,F,0,0
6161,9392,Male,53,Greater than 45,Caucasian,0,0,0,1,1.0,M,1,0
3466,5301,Male,27,25 - 45,African-American,0,0,0,0,3.0,F,1,1
3477,5322,Male,50,Greater than 45,Caucasian,0,0,0,0,1.0,F,0,0
5730,8735,Male,38,25 - 45,African-American,0,0,0,0,0.0,M,0,0
5759,8774,Male,38,25 - 45,Caucasian,0,0,0,3,1.0,M,0,0
710,1077,Male,23,Less than 25,African-American,0,0,0,0,1.0,F,1,1
2891,4421,Female,53,Greater than 45,African-American,0,0,0,10,4.0,F,1,1
1954,2965,Male,28,25 - 45,Hispanic,0,0,0,3,1.0,M,0,0
733,1118,Female,45,Greater than 45,Caucasian,0,0,0,1,8.0,F,0,0
1290,1974,Male,30,25 - 45,African-American,0,0,0,1,1.0,F,0,0
6991,10648,Male,27,25 - 45,Hispanic,0,0,0,4,3.0,F,1,1
4133,6304,Male,27,25 - 45,African-American,0,0,0,9,0.0,F,1,1
2298,3500,Male,25,25 - 45,Caucasian,0,0,0,2,1.0,M,0,0
2722,4157,Male,22,Less than 25,African-American,0,0,0,0,1.0,F,1,1
5150,7846,Male,25,25 - 45,Hispanic,0,0,0,3,1.0,F,1,1
1118,1709,Male,33,25 - 45,African-American,0,0,1,12,2.0,M,1,1
4963,7556,Male,22,Less than 25,Caucasian,0,0,0,0,1.0,M,0,0
4131,6302,Male,24,Less than 25,African-American,0,0,0,0,1.0,M,0,0
5666,8638,Male,31,25 - 45,African-American,0,0,0,9,1.0,F,1,1
1944,2951,Male,25,25 - 45,African-American,0,0,0,0,7.0,F,0,0
2940,4491,Male,25,25 - 45,African-American,0,0,0,1,1.0,F,1,1
6608,10073,Male,37,25 - 45,African-American,0,0,0,2,0.0,M,0,0
4795,7312,Male,25,25 - 45,Caucasian,0,1,0,6,0.0,F,1,1
1949,2959,Male,26,25 - 45,African-American,0,0,0,2,0.0,M,0,0
783,1192,Male,57,Greater than 45,African-American,0,0,0,11,140.0,F,0,0
3644,5564,Male,35,25 - 45,African-American,0,0,0,5,225.0,F,1,1
201,300,Female,37,25 - 45,Caucasian,0,0,0,0,0.0,M,0,0
2650,4039,Male,33,25 - 45,Hispanic,0,0,0,1,0.0,M,0,0
4123,6289,Female,38,25 - 45,Caucasian,0,0,0,5,42.0,F,1,1
6713,10239,Male,36,25 - 45,African-American,0,0,0,0,1.0,F,0,0
1754,2664,Male,27,25 - 45,African-American,0,0,0,0,61.0,F,1,1
1825,2766,Male,28,25 - 45,African-American,0,0,0,8,20.0,F,1,1
3319,5083,Male,21,Less than 25,Hispanic,0,0,0,0,0.0,M,1,1
1007,1548,Male,28,25 - 45,African-American,0,0,0,6,1.0,F,1,1
4482,6838,Female,39,25 - 45,Caucasian,0,0,0,2,1.0,F,1,1
5884,8970,Male,69,Greater than 45,Caucasian,0,0,0,0,3.0,M,1,1
3285,5027,Male,27,25 - 45,African-American,0,0,0,6,39.0,F,1,1
3481,5327,Male,32,25 - 45,Caucasian,0,0,0,1,0.0,F,1,1
4928,7503,Male,25,25 - 45,African-American,0,0,0,1,1.0,F,0,0
2733,4170,Male,28,25 - 45,Caucasian,0,0,0,7,1.0,F,1,1
6815,10390,Male,29,25 - 45,Caucasian,0,0,0,3,1.0,F,1,1
5203,7931,Male,30,25 - 45,African-American,0,0,0,4,1.0,M,0,0
5675,8651,Male,25,25 - 45,African-American,0,0,2,6,1.0,M,1,1
319,468,Male,27,25 - 45,African-American,0,0,0,0,17.0,F,0,0
6832,10416,Male,24,Less than 25,African-American,0,0,0,1,25.0,M,0,0
1276,1951,Male,20,Less than 25,African-American,0,0,0,1,1.0,F,0,0
5744,8754,Male,32,25 - 45,Caucasian,0,0,0,3,121.0,F,0,0
1050,1613,Male,36,25 - 45,African-American,0,0,0,2,1.0,F,1,0
5213,7949,Female,37,25 - 45,Caucasian,0,0,0,0,1.0,M,0,0
3125,4773,Male,23,Less than 25,African-American,0,0,1,1,1.0,F,0,0
697,1059,Male,24,Less than 25,African-American,0,0,0,1,1.0,M,0,0
5207,7942,Female,41,25 - 45,African-American,0,0,0,8,65.0,F,1,1
6460,9852,Male,21,Less than 25,African-American,0,2,2,2,1.0,F,1,1
3464,5297,Female,30,25 - 45,African-American,0,0,0,15,1.0,M,1,1
4925,7499,Male,44,25 - 45,Caucasian,0,0,0,1,1.0,M,1,0
5558,8467,Male,28,25 - 45,African-American,0,0,0,6,5.0,M,1,1
444,674,Male,24,Less than 25,African-American,0,0,0,1,2.0,M,1,1
1706,2593,Female,26,25 - 45,African-American,0,0,0,3,27.0,F,0,0
6651,10142,Male,25,25 - 45,African-American,0,0,0,2,62.0,F,0,0
1731,2630,Male,28,25 - 45,African-American,0,1,0,8,41.0,F,1,0
1432,2194,Female,42,25 - 45,African-American,0,0,0,2,35.0,M,0,0
2510,3821,Female,45,Greater than 45,African-American,0,0,0,2,12.0,F,0,0
2656,4052,Male,36,25 - 45,African-American,0,0,0,6,84.0,F,0,0
3108,4747,Male,34,25 - 45,African-American,0,0,0,12,62.0,F,1,0
2857,4372,Male,20,Less than 25,African-American,0,1,2,1,0.0,M,1,1
2716,4144,Male,21,Less than 25,African-American,0,0,1,0,2.0,F,0,0
2893,4425,Male,38,25 - 45,Other,0,0,0,1,1.0,M,0,0
4915,7482,Male,26,25 - 45,African-American,0,0,0,3,1.0,M,1,1
4607,7042,Male,25,25 - 45,African-American,0,1,0,10,261.0,F,1,1
5188,7909,Male,67,Greater than 45,African-American,0,0,0,8,2.0,F,0,0
1899,2883,Male,33,25 - 45,African-American,0,0,0,14,2.0,F,1,1
6866,10461,Male,37,25 - 45,Other,0,0,0,0,1.0,M,1,0
2103,3212,Male,25,25 - 45,African-American,0,0,0,0,2.0,F,1,1
633,965,Male,38,25 - 45,African-American,0,0,0,0,2.0,F,0,0
1980,3008,Male,31,25 - 45,Caucasian,0,0,0,1,0.0,M,1,1
2632,4014,Male,34,25 - 45,African-American,1,0,0,11,1.0,F,1,1
725,1101,Female,37,25 - 45,Hispanic,0,0,0,1,2.0,F,0,0
1843,2793,Male,30,25 - 45,African-American,4,1,0,11,117.0,F,0,0
3150,4815,Female,35,25 - 45,African-American,0,0,0,2,15.0,F,0,0
6478,9879,Male,56,Greater than 45,African-American,0,0,0,4,1.0,M,1,1
1063,1632,Male,30,25 - 45,African-American,0,0,0,8,2.0,F,1,1
5536,8434,Male,34,25 - 45,African-American,0,0,0,0,33.0,F,1,1
3272,5004,Male,32,25 - 45,African-American,0,0,0,0,6.0,F,1,1
2583,3947,Male,40,25 - 45,Other,0,0,0,1,1.0,F,0,0
4013,6117,Male,37,25 - 45,African-American,0,0,0,11,1.0,F,1,1
742,1129,Male,36,25 - 45,Other,0,0,0,0,7.0,F,0,0
1359,2087,Male,22,Less than 25,African-American,0,0,0,1,4.0,M,1,1
5799,8835,Male,29,25 - 45,African-American,0,0,0,3,1.0,M,0,0
6982,10629,Female,40,25 - 45,Caucasian,0,0,0,3,1.0,F,1,1
1340,2060,Male,31,25 - 45,African-American,0,0,0,3,1.0,F,1,1
4997,7607,Female,23,Less than 25,African-American,0,0,0,1,1.0,F,0,0
1829,2772,Male,23,Less than 25,African-American,0,0,0,2,2.0,M,1,1
2835,4333,Male,37,25 - 45,Other,0,0,0,4,2.0,M,1,1
3956,6034,Male,23,Less than 25,Caucasian,0,0,0,2,15.0,F,1,1
4403,6713,Male,34,25 - 45,Other,0,0,0,0,108.0,F,0,0
130,199,Male,28,25 - 45,Caucasian,0,0,0,2,0.0,F,0,0
6592,10052,Female,42,25 - 45,African-American,0,0,0,1,1.0,F,0,0
3482,5330,Male,29,25 - 45,African-American,0,0,0,0,2.0,M,1,1
4178,6380,Male,28,25 - 45,African-American,0,0,0,3,0.0,F,0,0
2477,3773,Male,23,Less than 25,Hispanic,0,0,0,0,1.0,M,0,0
7045,10736,Male,24,Less than 25,African-American,0,0,0,11,32.0,F,1,1
6547,9983,Male,22,Less than 25,African-American,0,0,0,3,9.0,F,1,1
724,1099,Male,21,Less than 25,Caucasian,0,0,0,1,1.0,F,0,0
6575,10029,Male,54,Greater than 45,Caucasian,0,0,0,0,0.0,F,0,0
4872,7423,Male,52,Greater than 45,African-American,0,0,0,0,5.0,F,1,1
1537,2356,Male,51,Greater than 45,Caucasian,0,0,0,6,0.0,F,1,1
5008,7634,Male,36,25 - 45,African-American,0,0,0,0,0.0,F,0,0
264,386,Male,30,25 - 45,African-American,0,0,0,2,2.0,F,1,1
3445,5266,Male,50,Greater than 45,Caucasian,0,0,0,2,1.0,F,0,0
5883,8969,Male,22,Less than 25,African-American,0,0,0,1,5.0,F,1,1
5717,8715,Female,20,Less than 25,African-American,0,0,1,0,1.0,M,1,1
882,1336,Male,50,Greater than 45,Caucasian,0,0,0,1,1.0,F,1,0
4109,6264,Female,29,25 - 45,African-American,0,0,0,0,2.0,F,0,0
2673,4076,Male,33,25 - 45,African-American,0,0,0,6,1.0,F,0,0
339,503,Male,28,25 - 45,African-American,0,0,0,3,32.0,F,1,1
5608,8548,Male,38,25 - 45,African-American,1,2,2,22,1.0,M,1,1
6897,10509,Male,25,25 - 45,African-American,0,1,0,3,1.0,F,0,0
2079,3174,Male,21,Less than 25,Other,0,0,0,0,6.0,F,1,1
4243,6480,Male,36,25 - 45,African-American,3,0,0,16,8.0,F,1,1
840,1268,Male,28,25 - 45,African-American,0,0,0,1,5.0,F,1,1
4053,6177,Male,23,Less than 25,African-American,1,0,0,4,3.0,F,0,0
4428,6758,Female,39,25 - 45,Caucasian,0,0,0,0,1.0,M,1,1
2573,3933,Female,33,25 - 45,African-American,0,0,0,5,1.0,F,1,1
3159,4828,Male,25,25 - 45,Caucasian,0,0,0,2,29.0,F,0,0
5834,8889,Male,36,25 - 45,Caucasian,0,0,0,1,0.0,F,0,0
1493,2287,Male,37,25 - 45,African-American,1,0,1,12,1.0,M,1,1
5638,8598,Male,23,Less than 25,African-American,0,2,2,4,1.0,F,1,1
1969,2990,Male,55,Greater than 45,Caucasian,0,0,0,0,1.0,M,0,0
5264,8030,Male,21,Less than 25,African-American,0,0,0,2,36.0,M,1,1
3907,5960,Male,55,Greater than 45,Caucasian,0,0,0,0,1.0,M,0,0
3248,4965,Male,48,Greater than 45,Other,0,0,0,0,1.0,M,0,0
5713,8708,Male,44,25 - 45,African-American,0,0,0,12,0.0,F,0,0
4272,6520,Female,26,25 - 45,African-American,0,0,0,1,1.0,F,0,0
408,617,Male,60,Greater than 45,Other,0,0,0,4,1.0,F,0,0
2257,3439,Male,36,25 - 45,Caucasian,0,0,0,0,1.0,F,0,0
